Company,Code,Name,Email,Phone,Address,City,State,Postal Code,Country,Group Area ID,Customer Group ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
ហ័រស៊ីង-Hua Sing,A-0027,ហ័រស៊ីង-Hua Sing,,089 746 796 / 012 811 789,មុន្នីវង្ស,,,,,,,,,,,,,
ឡាក់គីស៊ីប (ក្នុងព្រីមផ្លាហ្សាជាន់ទី3)-Lucky Sheep,A-0028,ឡាក់គីស៊ីប (ក្នុងព្រីមផ្លាហ្សាជាន់ទី3)-Lucky Sheep,,090 362 666,ក្នុងព្រីមផ្លាហ្សា,,,,,,,,,,,,,
CEO (បាក់ទូក),A-0029,CEO (បាក់ទូក),,093 716 124 / 086 846 226,ជាប់ផាកកាហ្វេបាក់ទូក,,,,,,,,,,,,,
សាស៊ាន​ (កោះពេជ្រ)-Sa Sean Koh Pich,A-0030,សាស៊ាន​ (កោះពេជ្រ)-Sa Sean Koh Pich,,088 907 5056,កោះពេជ្រ,,,,,,,,,,,,,
ដឺខេក (បឹងត្របែក)-The Cake Berng Tro Beak,A-0031,ដឺខេក (បឹងត្របែក)-The Cake Berng Tro Beak,,085 720 333 / 093 772 296,បឹងត្របែក,,,,,,,,,,,,,
ជីមេគង្គ (អូឫស្សី)-G Mekong,A-0032,ជីមេគង្គ (អូឫស្សី)-G Mekong,khim.pichchenda092@gmail.com,092 223 230 / 089 949 818,អូឫស្សី,,,,,,,,,,,,,
ជីស្តារ (កោះពេជ្រ)-G Star,A-0033,ជីស្តារ (កោះពេជ្រ)-G Star,khim.pichchenda092@gmail.com,092 223 230 / 012 420 882,,,,,,,,,,,,,,
ហ័ងយិន (ផ្សារកាប់គោ),A-0034,ហ័ងយិន (ផ្សារកាប់គោ),,069 531 777,,,,,,,,,,,,,,
ឆ្ងាញ់ជាប់ចិត្ត,A-0035,ឆ្ងាញ់ជាប់ចិត្ត,,016 718 897,,,,,,,,,,,,,,
សាគីស៊ូគីស៊ុប​ (ទួលគោក)-Saki Suki Soup,A-0036,សាគីស៊ូគីស៊ុប​ (ទួលគោក)-Saki Suki Soup,,098 357 787,,,,,,,,,,,,,,
មាតុភូមិ (ចោមចៅ),A-0037,មាតុភូមិ (ចោមចៅ),,012​ 484 026,,,,,,,,,,,,,,
ដឹធឹរ៉េស (ទួលគោក)-The Terrace Coffee,A-0038,ដឹធឹរ៉េស (ទួលគោក)-The Terrace Coffee,soeungchanry@yahoo.com,099 305 551 / 012 512 272,,,,,,,,,,,,,,
សានសាន (មន្នីវវង្ស)-San San MV,A-0039,សានសាន (មន្នីវវង្ស)-San San MV,,092 993 368,,,,,,,,,,,,,,
ជាថៃ-Chea Thai,A-0040,ជាថៃ-Chea Thai,,096 668 8865 / 078 764 458,,,,,,,,,,,,,,
អូលីវ (បឹងត្របែក)-Olive,A-0041,អូលីវ (បឹងត្របែក)-Olive,,086 858 583,ក្រោយ KS បឹងត្របែក,,,,,,,,,,,,,
តឺយៀកឡូវ (មុន្នីវង្ស),A-0042,តឺយៀកឡូវ (មុន្នីវង្ស),,011 826 496,មុខព្រីនKTV,,,,,,,,,,,,,
ហ៊ឹឈឹង,B-0043,ហ៊ឹឈឹង,,061 316 868 / 069 316 868,,,,,,,,,,,,,,
អាហារដ្ឋានរីករាយ 338,A-0044,អាហារដ្ឋានរីករាយ 338,,011 669 269 / 010 335 215,,,,,,,,,,,,,,
វួយជៀ-Vouy Chea,A-0045,វួយជៀ-Vouy Chea,,090 673 408 / 099 860 899,,,,,,,,,,,,,,
អាជីសែន (កម្ពុជាក្រោម)-Ajisen,A-0046,អាជីសែន (កម្ពុជាក្រោម)-Ajisen,,096 674 2046 / 095 688 568,,,,,,,,,,,,,,
យ៉ុងថឹងមីស៊ូជី-Yong Terng Mi Su Ji,A-0047,យ៉ុងថឹងមីស៊ូជី-Yong Terng Mi Su Ji,,085 806 862 / 097 652 2788,,,,,,,,,,,,,,
ធីមហួរវ៉ាន់-Tim Hour Wan,A-0048,ធីមហួរវ៉ាន់-Tim Hour Wan,them.cambodia@gmail.com,016 289 666 / 093 227 818,,,,,,,,,,,,,,
យ៉ាមីម្ហូបលឿន,A-0049,យ៉ាមីម្ហូបលឿន,,023 992 996,,,,,,,,,,,,,,
ហ្គោលដិន (ទួលគោក)-Golden TK,A-0050,ហ្គោលដិន (ទួលគោក)-Golden TK,,017 364 711 / 098 889 803,,,,,,,,,,,,,,
ស៊ុបចិននៅរតនាផ្លាហ្សា,A-0051,ស៊ុបចិននៅរតនាផ្លាហ្សា,,,,,,,,,,,,,,,,
អ៊ីជាំងណាន (សាខាមីខគោ),A-0052,អ៊ីជាំងណាន (សាខាមីខគោ),,031 90 55555 012 525 250,,,,,,,,,,,,,,
អយស្ទ័របា (បឹងកេងកង)-Oyster Bar Bkk,A-0053,អយស្ទ័របា (បឹងកេងកង)-Oyster Bar Bkk,,087 779 377,#340 st.370,,,,,,,,,,,,,
សាស៊ាន (មុន្នីវង្ស),A-0054,សាស៊ាន (មុន្នីវង្ស),,,ទល់មុខអាហារសមុទ្ររីករាយមុន្នីវង្ស,,,,,,,,,,,,,
កាសា-kasa,A-0055,កាសា-kasa,,012 943 833 / 097 965 1500,,,,,,,,,,,,,,
ផ្កាយ5,A-0056,ផ្កាយ5,kimsak30@gmail.com,095 888 041,,,,,,,,,,,,,,
57ផាប់-57 Pub,A-0057,57ផាប់-57 Pub,,092​ 661 168 / 016 661 168,ជាប់ឆុងឈីង,,,,,,,,,,,,,
ស៊ុបអណ្តាតភ្លើង,A-0058,ស៊ុបអណ្តាតភ្លើង,,088 825 0440,#30 st.360,,,,,,,,,,,,,
សាស៊ាន (ស្ពានឥន្ទធនូ),A-0059,សាស៊ាន (ស្ពានឥន្ទធនូ),,090 357 770​​,,,,,,,,,,,,,,
អគីដេរ-Orkide,A-0060,អគីដេរ-Orkide,,011 388 488 / 012 636 304,,,,,,,,,,,,,,
សានសាន (តាខ្មៅ),A-0061,សានសាន (តាខ្មៅ),,092 993 368,,,,,,,,,,,,,,
វីអូតែល,A-0062,វីអូតែល,,023 988 161,#48 st.111,,,,,,,,,,,,,
កូនពពែតូច (ផ្លូវភ្លោះ),A-0063,កូនពពែតូច (ផ្លូវភ្លោះ),jing@cosmo-fi.com,017 676 764​ / 012 668 382,,,,,,,,,,,,,,
ជីងទីងសៀន,A-0064,ជីងទីងសៀន,,031 790 8777 / 071 978 8888,,,,,,,,,,,,,,
ស៊ុបតាឡុង,A-0065,ស៊ុបតាឡុង,,096 821 8628 / 088 557 3888,,,,,,,,,,,,,,
ឆាវសានឆាយ,A-0066,ឆាវសានឆាយ,,097 895 2822,#159 st.154,,,,,,,,,,,,,
ទ្រីកូតាំង,A-0067,ទ្រីកូតាំង,,016 886 086,,,,,,,,,,,,,,
សមុទ្ររីករាយ (មុន្នីវង្ស),A-0068,សមុទ្ររីករាយ (មុន្នីវង្ស),,012 289 888 / 095 939 989,,,,,,,,,,,,,,
វត្តកោះ,A-0069,វត្តកោះ,,023 988 823 / 016 409 808,,,,,,,,,,,,,,
ស៊ុបចង្កាក់ឡាក់ឡាក់ (ស្ទឹងមានជ័យ),A-0070,ស៊ុបចង្កាក់ឡាក់ឡាក់ (ស្ទឹងមានជ័យ),,081 745 223 / 015 355 551,,,,,,,,,,,,,,
ហ៊ីណូជីញជីញ,A-0071,ហ៊ីណូជីញជីញ,,023 221 685 / 069 528 555,,,,,,,,,,,,,,
ឆ័ងគូគ័រ,A-0072,ឆ័ងគូគ័រ,,077 422 215 / 096 260 9036,,,,,,,,,,,,,,
ហុងកុងម៉ាកាវ,A-0073,ហុងកុងម៉ាកាវ,,098 251 636 / 081 322 136,,,,,,,,,,,,,,
សេវេនប្រាយ (វត្តភ្នំ),A-0074,សេវេនប្រាយ (វត្តភ្នំ),,087 993 349 / 095 777 077,,,,,,,,,,,,,,
ខេមបូឌា Air Way (មុខប្រលាន),A-0075,ខេមបូឌា Air Way (មុខប្រលាន),,010 949 427,,,,,,,,,,,,,,
ទុនហ័ង (អូ​ឫស្សី),A-0076,ទុនហ័ង (អូ​ឫស្សី),,017 930 878,,,,,,,,,,,,,,
ម៉ីវួយធានថាង,A-0077,ម៉ីវួយធានថាង,,016 273 458 / 093 261 550,,,,,,,,,,,,,,
 ប៊ូហ្វេចិនជិតចិនកញ្ចក់ខ្មៅ,A-0078, ប៊ូហ្វេចិនជិតចិនកញ្ចក់ខ្មៅ,,016 325 376,,,,,,,,,,,,,,
តាយស៊ីង (សាខាញូស្តារ),A-0079,តាយស៊ីង (សាខាញូស្តារ),,017 353 568 / 098 686 768,,,,,,,,,,,,,,
ជប៉ុន370 (សាខាបឺហ្គឺ310),A-0080,ជប៉ុន370 (សាខាបឺហ្គឺ310),,012 953 565 / 087 871 112,,,,,,,,,,,,,,
ហ្គូដថែម (ទួលគោក),A-0081,ហ្គូដថែម (ទួលគោក),,011 763 280 / 036 583 8258,,,,,,,,,,,,,,
ចិនសាខាទន្លេបាសាក់ (310 កែង មុន្នីវង្ស),A-0082,ចិនសាខាទន្លេបាសាក់ (310 កែង មុន្នីវង្ស),,,,,,,,,,,,,,,,
ចិនជ្រោយចង្វារ (សាខាព្រុយត្រីឆ្លាម),A-0083,ចិនជ្រោយចង្វារ (សាខាព្រុយត្រីឆ្លាម),,,,,,,,,,,,,,,,
មាតុភូមិ (បឹងស្នោរ),A-0084,មាតុភូមិ (បឹងស្នោរ),,,,,,,,,,,,,,,,
តេប៉ាក់,A-0085,តេប៉ាក់,,096 666 6208,,,,,,,,,,,,,,
ជេស៊ីបឹហ្គឹ st.51,A-0086,ជេស៊ីបឹហ្គឹ st.51,,096 530 6019,,,,,,,,,,,,,,
មុខទន្លេបាសាក់,A-0087,មុខទន្លេបាសាក់,,070 699 759 / 070 958 435,,,,,,,,,,,,,,
ចិនកញ្ចក់ខ្មែរ,A-0088,ចិនកញ្ចក់ខ្មែរ,,086​​ 888​100​ /​ 097​ 819 6520,,,,,,,,,,,,,,
ឡៅអ៊ីវជី,A-0089,ឡៅអ៊ីវជី,,096​ 850 3333,,,,,,,,,,,,,,
ឃ្យូហោស៏,A-0090,ឃ្យូហោស៏,, 010 840 383,,,,,,,,,,,,,,
123,A-0091,123,,012 980 266,,,,,,,,,,,,,,
សោនក្លឹប,A-0092,សោនក្លឹប,,070 994 998 / 070 919 907,,,,,,,,,,,,,,
ស៊ូស៊ីតី,A-0093,ស៊ូស៊ីតី,,070​ 737​​ 649​ / 093 222 195,,,,,,,,,,,,,,
ព្រីមផ្លាហ្សា,A-0094,ព្រីមផ្លាហ្សា,,097 4599 185 / 090 36 2666,,,,,,,,,,,,,,
ហឺឆឹង,A-0095,ហឺឆឹង,,096 51 06 862 / 061 31 68 68,,,,,,,,,,,,,,
កាសា (កោះពេជ្រ),A-0096,កាសា (កោះពេជ្រ),,078 98 80 88​/​ 089 88 18 44,,,,,,,,,,,,,,
ផាកកាហ្វេ (សន្ធរមុខ),A-0097,ផាកកាហ្វេ (សន្ធរមុខ),,016​ 841 846,,,,,,,,,,,,,,
ផាកកាហ្វេ (ប៉ាស្ទ័រ),A-0098,ផាកកាហ្វេ (ប៉ាស្ទ័រ),,096 27​ 06 368,,,,,,,,,,,,,,
ផាកកាហ្វេ (ប្រលាន),A-0099,ផាកកាហ្វេ (ប្រលាន),,070​​ 57 59 93,,,,,,,,,,,,,,
ផាកកាហ្វេ (បាក់ទូក),A-0100,ផាកកាហ្វេ (បាក់ទូក),,017 882 826,,,,,,,,,,,,,,
ផាកកាហ្វេ (ផ្សារសុវណ្ណា),A-0101,ផាកកាហ្វេ (ផ្សារសុវណ្ណា),,017 882 826,,,,,,,,,,,,,,
ហ្វឺកាលី​ (st.6A),A-0102,ហ្វឺកាលី​ (st.6A),,,,,,,,,,,,,,,,
ហ្វឺកាលី​ (បឹងកេងកង),A-0103,ហ្វឺកាលី​ (បឹងកេងកង),,087 981 777,,,,,,,,,,,,,,
ហ្វឺកាលី St.205,A-0104,ហ្វឺកាលី St.205,,,,,,,,,,,,,,,,
ហ្វឺកាលី (ផ្សារថ្មី),A-0105,ហ្វឺកាលី (ផ្សារថ្មី),,087 981 777,,,,,,,,,,,,,,
ហ្វឺកាលី (ទួលគោក),A-0106,ហ្វឺកាលី (ទួលគោក),,087 981 777,,,,,,,,,,,,,,
KS បឹងត្របែក,A-0107,KS បឹងត្របែក,,096 255 5374,,,,,,,,,,,,,,
ប្រោន4 (មាត់ទន្លេ)-Brown Riverside,A-0108,ប្រោន4 (មាត់ទន្លេ)-Brown Riverside,,081 777 301 / 081 777 303,,,,,,,,,,,,,,
អ៊ិនស៊ូល (សាខាលូណា),A-0109,អ៊ិនស៊ូល (សាខាលូណា),,089​​ 236 383 / 016 277 333,#50B st.240,,,,,,,,,,,,,
អេសកាហ្វេ (នំ),A-0110,អេសកាហ្វេ (នំ),,069 995 368,,,,,,,,,,,,,,
អេសកាហ្វេ (ប៉េងប៉ោះ),A-0111,អេសកាហ្វេ (ប៉េងប៉ោះ),,017 752 207,,,,,,,,,,,,,,
អេសកាហ្វេ (លាងឡាន),A-0112,អេសកាហ្វេ (លាងឡាន),,,,,,,,,,,,,,,,
ម៉ារ៉ូហ្គាមិអ៊ូដុង (បឹងកេងកង)-Marugame Udon,A-0113,ម៉ារ៉ូហ្គាមិអ៊ូដុង (បឹងកេងកង)-Marugame Udon,,010 939  465 / 093 382 428,,,,,,,,,,,,,,
ប្រោន11 (នរោត្តម)-Brown Norodom,A-0114,ប្រោន11 (នរោត្តម)-Brown Norodom,chuo.sreylin@browncoffee.com.kh,098 999 181 / 081 777 301,,,,,,,,,,,,,,
ប្រោន10 (ស្តុបបូគោ)-Brown Boko,A-0115,ប្រោន10 (ស្តុបបូគោ)-Brown Boko,chuo.sreylin@browncoffee.com.kh,093 883 816 / 070 800 472,#23 st.57/294,,,,,,,,,,,,,
ឡុងកី (ទួលគោក)-Long Kei TK,A-0116,ឡុងកី (ទួលគោក)-Long Kei TK,,089 943 134,,,,,,,,,,,,,,
ប៊ូដាផេសកាហ្វេ (សាខាហ្វឺកាលី)-Budapest coffee,A-0117,ប៊ូដាផេសកាហ្វេ (សាខាហ្វឺកាលី)-Budapest coffee,,,,,,,,,,,,,,,,
ហ្វឺកាលី (សំរោងអណ្តែត),A-0118,ហ្វឺកាលី (សំរោងអណ្តែត),,087 981 777,,,,,,,,,,,,,,
អូហាណា,A-0119,អូហាណា,,015 274 016 / 016 881 884,,,,,,,,,,,,,,
រ៉ូឃូ (សាខាប៊ុនឈុន),A-0120,រ៉ូឃូ (សាខាប៊ុនឈុន),,023 986 202 / 098 233 566,,,,,,,,,,,,,,
ប៊ុនឈុន (ទួលគោក),A-0121,ប៊ុនឈុន (ទួលគោក),,016 673 337 / 098 986 870,,,,,,,,,,,,,,
ប៊ុនឈុន (បឹងកេងកង),A-0122,ប៊ុនឈុន (បឹងកេងកង),,098 233 566 / 023 986 202,,,,,,,,,,,,,,
ព្រីមៀម (ទួលគោក),A-0123,ព្រីមៀម (ទួលគោក),,016 678 000 / 069 916 692,,,,,,,,,,,,,,
អូអ៊ីឈិប៊ូហ្វេ (អ៊ីអន1),A-0124,អូអ៊ីឈិប៊ូហ្វេ (អ៊ីអន1),,,,,,,,,,,,,,,,
ហាហ្កា310,A-0125,ហាហ្កា310,,092 333 104 / 010 333 869,,,,,,,,,,,,,,
វ៉នដឺឡេន (កោះពេជ្រ),A-0126,វ៉នដឺឡេន (កោះពេជ្រ),,031 835 6666 / 069 254 777,,,,,,,,,,,,,,
ឡតធឺរៀ (មុន្នីវង្ស),A-0127,ឡតធឺរៀ (មុន្នីវង្ស),,093 303 555,,,,,,,,,,,,,,
ឃ្វីនអូតែល,A-0128,ឃ្វីនអូតែល,,023 211 683 / 066 299 888,,,,,,,,,,,,,,
ព្រីន (ស្តុបបូកគោ),A-0129,ព្រីន (ស្តុបបូកគោ),,069 630 666 / 069 710 777,,,,,,,,,,,,,,
តួលេស៊ួ (ម៉ុងឌីយ៉ាល់),A-0130,តួលេស៊ួ (ម៉ុងឌីយ៉ាល់),,093 308 555 / 093 855 777,,,,,,,,,,,,,,
PPM,A-0131,PPM,,010 333 067 / 010 333 020,,,,,,,,,,,,,,
ព្រីមៀម (ស្ពតក្លឹប),A-0132,ព្រីមៀម (ស្ពតក្លឹប),,078 323 264 / 015 347 347,#30 st.347,,,,,,,,,,,,,
តួលេស៊ួ (ភ្នំពេញថ្មី),A-0133,តួលេស៊ួ (ភ្នំពេញថ្មី),,093 601 777 / 093 602 777,,,,,,,,,,,,,,
ដូមីណូ (ស៊ីធីម៉ល),A-0134,ដូមីណូ (ស៊ីធីម៉ល),,093 310 222,,,,,,,,,,,,,,
កូកា (តំបន់សេដ្ឋកិច្ចពិសេស),A-0135,កូកា (តំបន់សេដ្ឋកិច្ចពិសេស),,092 333 104 / 092 333 273,,,,,,,,,,,,,,
CBM (ត្រសក់ផ្អែម),A-0136,CBM (ត្រសក់ផ្អែម),,093 451 777 / 093 311 555,#44 st.222,,,,,,,,,,,,,
ហាហ្គា (ពន្ធដាទួលគោក),A-0137,ហាហ្គា (ពន្ធដាទួលគោក),,085 333 977,,,,,,,,,,,,,,
តួលេស៊ួ (សីហនុ),A-0138,តួលេស៊ួ (សីហនុ),yangkimleang100593@gmail.com,,,,,,,,,,,,,,,
ដូមីណូ (បឹងកេងកង),A-0139,ដូមីណូ (បឹងកេងកង),,093 301 111​ / 012 965 447,,,,,,,,,,,,,,
អ៊ីសវេស,A-0140,អ៊ីសវេស,,099 333 619,,,,,,,,,,,,,,
ជីម៉ាក់ (តំបន់សេដ្ឋកិច្ចពិសេស),A-0141,ជីម៉ាក់ (តំបន់សេដ្ឋកិច្ចពិសេស),,092 333 254 / 092 333 273,,,,,,,,,,,,,,
AUPP ឫស្សីកែវវ (សាខាហាហ្កា),A-0142,AUPP ឫស្សីកែវវ (សាខាហាហ្កា),kimsea.sann@hagorcatering.com,092 333 251,,,,,,,,,,,,,,
ភូមិនខ្មែរ,A-0143,ភូមិនខ្មែរ,kimsea.sann@hagorcatering.com,092 333  178 / 092 333 176,,,,,,,,,,,,,,
បារីសេក (សាខាហាហ្កា),A-0144,បារីសេក (សាខាហាហ្កា),,092 333 251,,,,,,,,,,,,,,
តួលេស៊ួ (សូរិយា),A-0145,តួលេស៊ួ (សូរិយា),,093 310 777,,,,,,,,,,,,,,
ដូមីណូ (ភ្នំពេញថ្មី),A-0146,ដូមីណូ (ភ្នំពេញថ្មី),,093 314 222,,,,,,,,,,,,,,
តួលេស៊ួ (មុន្នីវង្ស),A-0147,តួលេស៊ួ (មុន្នីវង្ស),,093 314 222,,,,,,,,,,,,,,
សាលាក្តីខ្មែរក្រហម (សាខាហាហ្កា),A-0148,សាលាក្តីខ្មែរក្រហម (សាខាហាហ្កា),,092 333 104 / 010 333 869,,,,,,,,,,,,,,
AISPP (សាខាហាហ្កា),A-0149,AISPP (សាខាហាហ្កា),,092 333 104 / 010 333 869,,,,,,,,,,,,,,
ក្នុងសាលាពុទ្ធិសាស្រ្ត (សាខាហាហ្កា),A-0150,ក្នុងសាលាពុទ្ធិសាស្រ្ត (សាខាហាហ្កា),,092 333 245 / 085 333 977,,,,,,,,,,,,,,
A45 (កោះពេជ្រ),A-0151,A45 (កោះពេជ្រ),,016 988 233 / 017 368 875,,,,,,,,,,,,,,
សម្ផស្សបុកល្ហុង 2 (ផ្សារដេប៉ូ),A-0152,សម្ផស្សបុកល្ហុង 2 (ផ្សារដេប៉ូ),,098 985 880,st.338,,,,,,,,,,,,,
ប៉ោកី 1 (មុន្នីវង្ស),A-0153,ប៉ោកី 1 (មុន្នីវង្ស),,012 803 922 / 012 368 883,,,,,,,,,,,,,,
ស៊ូស៊ូ 2 (កោះពេជ្រ),A-0154,ស៊ូស៊ូ 2 (កោះពេជ្រ),,012 855 223 / 011 887 177,,,,,,,,,,,,,,
លូណា ,A-0155,លូណា ,,012 859 976 / 023 220 895,,,,,,,,,,,,,,
អ៊ុបហ្វីសលូណា,A-0156,អ៊ុបហ្វីសលូណា,,,,,,,,,,,,,,,,
ចិនភ្នំពេញថ្មី,A-0157,ចិនភ្នំពេញថ្មី,,,,,,,,,,,,,,,,
ឡប់ស្ទ័រ ប៊ីប៊ីឃ្យូ,A-0158,ឡប់ស្ទ័រ ប៊ីប៊ីឃ្យូ,,099 733 388,,,,,,,,,,,,,,
សម្ផស្សបុកល្ហុង 1 (ទួលស្វាយព្រៃ2),A-0159,សម្ផស្សបុកល្ហុង 1 (ទួលស្វាយព្រៃ2),,099 989 966 / 012 858 583,,,,,,,,,,,,,,
ម៉ារ៉ូហ្គាមិអ៊ូដុង (ស្ទឹងមានជ័យ),A-0160,ម៉ារ៉ូហ្គាមិអ៊ូដុង (ស្ទឹងមានជ័យ),,093 382 248,,,,,,,,,,,,,,
វីឡាសុវណ្ណា,A-0161,វីឡាសុវណ្ណា,,012 840 055,,,,,,,,,,,,,,
សុវណ្ណា (ផ្សារកាប់គោ),A-0162,សុវណ្ណា (ផ្សារកាប់គោ),,012 398 281 / 017 239 387,,,,,,,,,,,,,,
អូតែល st.282 (សាខា Number9),A-0163,អូតែល st.282 (សាខា Number9),,012 466 063,,,,,,,,,,,,,,
Numer 9,A-0164,Numer 9,,023 984 999 / 070 888 399,,,,,,,,,,,,,,
ស៊ូស៊ូ 1 (អូឡាំពិច),A-0165,ស៊ូស៊ូ 1 (អូឡាំពិច),,011 887 177 / 012 855 223,,,,,,,,,,,,,,
វីឡា35,A-0166,វីឡា35,,023 223 888 / 088 888 8803,,,,,,,,,,,,,,
ប៉ោកី 2 (ទួលគោក),A-0167,ប៉ោកី 2 (ទួលគោក),,023 223 885 / 023 976 663,,,,,,,,,,,,,,
តុងហ្វាំងម៉េងជូ,A-0168,តុងហ្វាំងម៉េងជូ,,096 888 8664,,,,,,,,,,,,,,
ខៃហ្វាន់,A-0169,ខៃហ្វាន់,,093 624 672 / 070 484 723,,,,,,,,,,,,,,
ឆេមពាន (ទួលទំពូង),A-0170,ឆេមពាន (ទួលទំពូង),,010 731 333 / 016 202 324,,,,,,,,,,,,,,
នំផារិនដា,A-0171,នំផារិនដា,,011 820 517 / 011 820 515,,,,,,,,,,,,,,
តូតូ​ st.358,A-0172,តូតូ​ st.358,,012 912 172,,,,,,,,,,,,,,
ទាខ្វៃប៉េកាំង,A-0173,ទាខ្វៃប៉េកាំង,,017 357 782,#7 st.428,,,,,,,,,,,,,
ហ៊ាពៅ,A-0174,ហ៊ាពៅ,,012 758 571,,,,,,,,,,,,,,
អាហារដ្ឋាន72,B-0175,អាហារដ្ឋាន72,,012 466 622 / 092 757 008,,,,,,,,,,,,,,
ហឹកហ្វុងផ្សារថ្មី,A-0176,ហឹកហ្វុងផ្សារថ្មី,,099 820 888,,,,,,,,,,,,,,
ចិន st.494 (ទួលទំពូង),A-0177,ចិន st.494 (ទួលទំពូង),,096 956 8302,,,,,,,,,,,,,,
អេលីត,A-0178,អេលីត,,078 638 008,,,,,,,,,,,,,,
វាលស្រែ,A-0179,វាលស្រែ,,017 773 102,,,,,,,,,,,,,,
ហ្សង់អាលីហ្សេ ,A-0180,ហ្សង់អាលីហ្សេ ,,,,,,,,,,,,,,,,
លីសាយហេង,B-0181,លីសាយហេង,,092 761 110 / 093 225 314,,,,,,,,,,,,,,
ខូវខូវស៊ាំង,A-0182,ខូវខូវស៊ាំង,,088 259 6999,,,,,,,,,,,,,,
រាត្រីសំបូរ,A-0183,រាត្រីសំបូរ,,011 857 107,,,,,,,,,,,,,,
ផ្ទះសំណាក់រាត្រីសំបូរ,A-0184,ផ្ទះសំណាក់រាត្រីសំបូរ,,011 857 107,,,,,,,,,,,,,,
មីហិរ (ទួលទំពូង),A-0185,មីហិរ (ទួលទំពូង),,015 355 551,,,,,,,,,,,,,,
